ELEXM_SETTLEMENT_DATE,ELEXM_SETTLEMENT_PERIOD,ELEXM_utc,ELEXM_localtime,ELEXM_ROWFLAG,NGEM_ROWFLAG,POWER_ESPENI_MW,POWER_ELEXM_CCGT_MW,POWER_ELEXM_OIL_MW,POWER_ELEXM_COAL_MW,POWER_ELEXM_NUCLEAR_MW,POWER_ELEXM_WIND_MW,POWER_ELEXM_PS_MW,POWER_ELEXM_NPSHYD_MW,POWER_ELEXM_OCGT_MW,POWER_ELEXM_OTHER_POSTCALC_MW,POWER_ELEXM_BIOMASS_POSTCALC_MW,POWER_NGEM_EMBEDDED_SOLAR_GENERATION_MW,POWER_NGEM_EMBEDDED_WIND_GENERATION_MW,POWER_NGEM_BRITNED_FLOW_MW,POWER_NGEM_EAST_WEST_FLOW_MW,POWER_NGEM_MOYLE_FLOW_MW,POWER_NGEM_NEMO_FLOW_MW,POWER_NGEM_IFA_FLOW_MW,POWER_NGEM_IFA2_FLOW_MW,POWER_NGEM_NSL_FLOW_MW
26/04/2020,12,2020-04-26T04:30:00+00:00,2020-04-26T05:30:00+01:00,1,1,19099,5698,0,0,5783,1334,0,90,2,154,3019,8,419,689,-52,-100,687,1369,-1,
25/05/2020,6,2020-05-25T01:30:00+00:00,2020-05-25T02:30:00+01:00,1,1,19102,5983,0,0,5245,2485,286,462,2,151,1509,0,695,254,289,230,688,824,-1,
2/08/2020,10,2020-08-02T03:30:00+00:00,2020-08-02T04:30:00+01:00,1,1,19103,6842,0,0,5288,3256,0,177,0,144,1675,0,802,0,19,401,129,371,-1,
26/04/2020,9,2020-04-26T03:00:00+00:00,2020-04-26T04:00:00+01:00,1,1,19108,6045,0,0,5783,1075,0,110,2,155,3060,0,382,689,-66,-183,688,1369,-1,
20/07/2020,8,2020-07-20T02:30:00+00:00,2020-07-20T03:30:00+01:00,1,1,19115,6308,0,0,5140,2469,0,114,0,122,3034,0,897,154,-149,-259,0,1286,-1,
6/08/2022,10,2022-08-06T03:30:00+00:00,2022-08-06T04:30:00+01:00,1,1,19116,9567,0,0,4804,2397,0,80,0,388,1493,0,709,-429,0,16,-74,-210,-457,832
12/04/2020,9,2020-04-12T03:00:00+00:00,2020-04-12T04:00:00+01:00,1,1,19119,7188,0,0,5237,1666,0,467,4,156,1196,0,724,690,0,-266,688,1370,-1,
26/04/2020,10,2020-04-26T03:30:00+00:00,2020-04-26T04:30:00+01:00,1,1,19121,6052,0,0,5779,1199,0,108,3,155,3061,0,395,689,-169,-207,688,1369,-1,
8/05/2020,10,2020-05-08T03:30:00+00:00,2020-05-08T04:30:00+01:00,1,1,19132,7204,0,0,5497,1045,0,124,1,127,1830,0,393,709,0,86,706,1411,-1,
2/06/2020,11,2020-06-02T04:00:00+00:00,2020-06-02T05:00:00+01:00,1,1,19140,8487,0,0,4720,859,0,177,0,177,2445,69,366,-567,60,83,756,1509,-1,
22/05/2022,12,2022-05-22T04:30:00+00:00,2022-05-22T05:30:00+01:00,1,1,19150,10317,0,0,4936,5232,0,155,1,172,459,207,1490,-1074,489,246,-1021,-719,-1028,-712
20/06/2020,12,2020-06-20T04:30:00+00:00,2020-06-20T05:30:00+01:00,1,1,19153,5631,0,0,5023,2875,0,139,0,113,1456,349,847,690,81,191,688,1071,-1,
26/06/2022,10,2022-06-26T03:30:00+00:00,2022-06-26T04:30:00+01:00,1,1,19154,4721,0,0,5067,10523,0,82,0,111,570,3,2303,-1075,504,246,-1021,-1031,-1028,-821
11/07/2020,11,2020-07-11T04:00:00+00:00,2020-07-11T05:00:00+01:00,1,1,19162,5621,0,0,5332,4181,0,248,0,119,1368,29,1217,-300,0,72,-90,1366,-1,
26/05/2020,7,2020-05-26T02:00:00+00:00,2020-05-26T03:00:00+01:00,1,1,19164,4777,0,0,5232,2643,0,281,2,145,2453,0,829,690,20,45,681,1367,-1,
30/05/2020,12,2020-05-30T04:30:00+00:00,2020-05-30T05:30:00+01:00,1,1,19168,4964,0,0,4813,3567,0,166,2,135,2401,368,1357,220,65,377,493,241,-1,
30/05/2020,8,2020-05-30T02:30:00+00:00,2020-05-30T03:30:00+01:00,1,1,19172,4440,0,0,4675,3748,0,142,2,140,2413,0,1181,102,3,401,556,1370,-1,
20/06/2020,8,2020-06-20T02:30:00+00:00,2020-06-20T03:30:00+01:00,1,1,19183,5862,0,0,5031,3171,0,148,0,107,1446,0,971,690,0,-298,688,1368,-1,
15/05/2022,12,2022-05-15T04:30:00+00:00,2022-05-15T05:30:00+01:00,1,1,19185,13804,0,0,5438,2906,0,199,0,130,432,28,920,-1075,0,216,-1021,-1026,-1028,-738
19/07/2020,12,2020-07-19T04:30:00+00:00,2020-07-19T05:30:00+01:00,1,1,19188,4765,0,0,5119,4344,0,128,0,119,2400,84,1124,173,18,200,-37,752,-1,
13/07/2020,11,2020-07-13T04:00:00+00:00,2020-07-13T05:00:00+01:00,1,1,19203,6608,0,0,5322,3980,0,237,1,124,1610,23,1352,103,429,295,-14,-866,-1,
28/06/2020,8,2020-06-28T02:30:00+00:00,2020-06-28T03:30:00+01:00,1,1,19205,4704,0,0,4503,8300,0,131,0,115,732,0,3058,-656,292,91,-683,-1381,-1,
